epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.154,0.24607,1.60949,1.01768,0.57658,0.65862,0.65119,0.59374,0.38276,1.39112,0.53547,0.000416343,0.000416343,0.000416343
2,839.036,0.17768,1.16709,0.95561,0.54794,0.75783,0.74005,0.69306,0.28196,1.07144,0.39429,0.000816516,0.000816516,0.000816516
3,1254.5,0.15907,1.10209,0.94669,0.54408,0.68626,0.67335,0.6553,0.2765,1.22611,0.38744,0.00120019,0.00120019,0.00120019
